Date,Ticker,Shares,Buy_Price,Status,Buy_Date,Holding_Days,Sell_Date,Sell_Price,Invested_Amount,Net_Profit,Current_Valuation,ROI
2026-08-06,BCE,397.0,25.17,持有,2026-03-31,128,-,-,9992.86,-953.17,9039.69,-9.54%
2026-08-06,MPLX,183.0,54.5,持有,2026-04-01,127,-,-,9974.32,885.45,10859.77,8.88%
2026-08-06,APA,275.0,36.26,持有,2026-04-15,113,-,-,9970.71,75.04,10045.75,0.75%
2026-08-06,JBS,641.0,15.6,持有,2026-04-24,104,-,-,9997.72,-1222.43,8775.29,-12.23%
2026-08-06,RL,27.0,360.06,持有,2026-05-04,94,-,-,9721.63,965.78,10687.41,9.93%
2026-08-06,AGI,257.0,38.84,持有,2026-06-03,64,-,-,9982.32,-1989.62,7992.7,-19.93%
2026-08-06,ALV,83.0,120.44,持有,2026-06-17,50,-,-,9996.74,-60.26,9936.48,-0.60%
2026-08-06,DECK,92.0,108.11,持有,2026-06-18,49,-,-,9945.94,-941.9,9004.04,-9.47%
2026-08-06,LOGI,93.0,106.46,持有,2026-06-19,48,-,-,9900.44,-324.23,9576.21,-3.27%
2026-08-06,NTAP,64.0,154.25,持有,2026-06-23,44,-,-,9871.75,2382.97,12254.72,24.14%
2026-08-07,WU,1168.0,8.56,持有,2026-03-31,129,-,-,9999.84,-1730.4,8269.44,-17.30%
2026-08-07,BCE,397.0,25.17,持有,2026-03-31,129,-,-,9992.86,-961.11,9031.75,-9.62%
2026-08-07,MPLX,183.0,54.5,持有,2026-04-01,128,-,-,9974.32,795.23,10769.55,7.97%
2026-08-07,APA,275.0,36.26,持有,2026-04-15,114,-,-,9970.71,377.54,10348.25,3.79%
2026-08-07,JBS,641.0,15.6,持有,2026-04-24,105,-,-,9997.72,-876.29,9121.43,-8.76%
2026-08-07,RL,27.0,360.06,持有,2026-05-04,95,-,-,9721.63,957.68,10679.31,9.85%
2026-08-07,AGI,257.0,38.84,持有,2026-06-03,65,-,-,9982.32,-1462.77,8519.55,-14.65%
2026-08-07,ALV,83.0,120.44,持有,2026-06-17,51,-,-,9996.74,128.47,10125.21,1.29%
2026-08-07,DECK,92.0,108.11,持有,2026-06-18,50,-,-,9945.94,-979.62,8966.32,-9.85%
2026-08-07,LOGI,93.0,106.46,持有,2026-06-19,49,-,-,9900.44,-11.75,9888.69,-0.12%
2026-08-07,NTAP,64.0,154.25,持有,2026-06-23,45,-,-,9871.75,2257.53,12129.28,22.87%
2026-08-10,WU,1168.0,8.56,持有,2026-03-31,132,-,-,9999.84,-1788.8,8211.04,-17.89%
2026-08-10,BCE,397.0,25.17,持有,2026-03-31,132,-,-,9992.86,-1044.48,8948.38,-10.45%
2026-08-10,MPLX,183.0,54.5,持有,2026-04-01,131,-,-,9974.32,767.78,10742.1,7.70%
2026-08-10,APA,275.0,36.26,持有,2026-04-15,117,-,-,9970.71,1309.79,11280.5,13.14%
2026-08-10,JBS,641.0,15.6,持有,2026-04-24,108,-,-,9997.72,-1401.91,8595.81,-14.02%
2026-08-10,RL,27.0,360.06,持有,2026-05-04,98,-,-,9721.63,1264.4,10986.03,13.01%
2026-08-10,AGI,257.0,38.84,持有,2026-06-03,68,-,-,9982.32,-1452.49,8529.83,-14.55%
2026-08-10,ALV,83.0,120.44,持有,2026-06-17,54,-,-,9996.74,36.16,10032.9,0.36%
2026-08-10,DECK,92.0,108.11,持有,2026-06-18,53,-,-,9945.94,-981.46,8964.48,-9.87%
2026-08-10,LOGI,93.0,106.46,持有,2026-06-19,52,-,-,9900.44,-147.53,9752.91,-1.49%
2026-08-10,NTAP,64.0,154.25,持有,2026-06-23,48,-,-,9871.75,2846.33,12718.08,28.83%
2026-08-11,WU,1168.0,8.56,持有,2026-03-31,133,-,-,9999.84,-1765.44,8234.4,-17.65%
2026-08-11,BCE,397.0,25.17,持有,2026-03-31,133,-,-,9992.86,-714.97,9277.89,-7.15%
2026-08-11,MPLX,183.0,54.5,持有,2026-04-01,132,-,-,9974.32,877.58,10851.9,8.80%
2026-08-11,APA,275.0,36.26,持有,2026-04-15,118,-,-,9970.71,1199.79,11170.5,12.03%
2026-08-11,JBS,641.0,15.6,持有,2026-04-24,109,-,-,9997.72,-1651.9,8345.82,-16.52%
2026-08-11,RL,27.0,360.06,持有,2026-05-04,99,-,-,9721.63,1016.81,10738.44,10.46%
2026-08-11,AGI,257.0,38.84,持有,2026-06-03,69,-,-,9982.32,-1385.67,8596.65,-13.88%
2026-08-11,ALV,83.0,120.44,持有,2026-06-17,55,-,-,9996.74,87.26,10084.0,0.87%
2026-08-11,DECK,92.0,108.11,持有,2026-06-18,54,-,-,9945.94,-1312.66,8633.28,-13.20%
2026-08-11,LOGI,93.0,106.46,持有,2026-06-19,53,-,-,9900.44,-260.06,9640.38,-2.63%
2026-08-11,NTAP,64.0,154.25,持有,2026-06-23,49,-,-,9871.75,2830.33,12702.08,28.67%
2026-08-12,WU,1168.0,8.56,持有,2026-03-31,134,-,-,9999.84,-1660.32,8339.52,-16.60%
2026-08-12,BCE,397.0,25.17,持有,2026-03-31,134,-,-,9992.86,-810.25,9182.61,-8.11%
2026-08-12,MPLX,183.0,54.5,持有,2026-04-01,133,-,-,9974.32,994.7,10969.02,9.97%
2026-08-12,APA,275.0,36.26,持有,2026-04-15,119,-,-,9970.71,1021.04,10991.75,10.24%
2026-08-12,JBS,641.0,15.6,持有,2026-04-24,110,-,-,9997.72,-1587.8,8409.92,-15.88%
2026-08-12,RL,27.0,360.06,持有,2026-05-04,100,-,-,9721.63,979.82,10701.45,10.08%
2026-08-12,AGI,257.0,38.84,持有,2026-06-03,70,-,-,9982.32,-1365.11,8617.21,-13.68%
2026-08-12,ALV,83.0,120.44,持有,2026-06-17,56,-,-,9996.74,-39.65,9957.08,-0.40%
2026-08-12,DECK,92.0,108.11,持有,2026-06-18,55,-,-,9945.94,-1555.54,8390.4,-15.64%
2026-08-12,LOGI,93.0,106.46,持有,2026-06-19,54,-,-,9900.44,-295.4,9605.04,-2.98%
2026-08-12,NTAP,64.0,154.25,持有,2026-06-23,50,-,-,9871.75,3059.45,12931.2,30.99%
2026-08-13,WU,1168.0,8.56,持有,2026-03-31,135,-,-,9999.84,-1251.52,8748.32,-12.52%
2026-08-13,BCE,397.0,25.17,持有,2026-03-31,135,-,-,9992.86,-734.82,9258.04,-7.35%
2026-08-13,MPLX,183.0,54.5,持有,2026-04-01,134,-,-,9974.32,789.74,10764.06,7.92%
2026-08-13,APA,275.0,36.26,持有,2026-04-15,120,-,-,9970.71,1029.29,11000.0,10.32%
2026-08-13,JBS,641.0,15.6,持有,2026-04-24,111,-,-,9997.72,-1459.6,8538.12,-14.60%
2026-08-13,RL,27.0,360.06,持有,2026-05-04,101,-,-,9721.63,737.9,10459.53,7.59%
2026-08-13,AGI,257.0,38.84,持有,2026-06-03,71,-,-,9982.32,-1539.87,8442.45,-15.43%
2026-08-13,ALV,83.0,120.44,持有,2026-06-17,57,-,-,9996.74,8.97,10005.71,0.09%
2026-08-13,DECK,92.0,108.11,持有,2026-06-18,56,-,-,9945.94,-1362.34,8583.6,-13.70%
2026-08-13,LOGI,93.0,106.46,持有,2026-06-19,55,-,-,9900.44,-179.15,9721.29,-1.81%
2026-08-13,NTAP,64.0,154.25,持有,2026-06-23,51,-,-,9871.75,3247.61,13119.36,32.90%
2026-08-14,WU,1168.0,8.56,持有,2026-03-31,136,-,-,9999.84,-1298.24,8701.6,-12.98%
2026-08-14,BCE,397.0,25.17,持有,2026-03-31,136,-,-,9992.86,-675.27,9317.59,-6.76%
2026-08-14,MPLX,183.0,54.5,持有,2026-04-01,135,-,-,9974.32,910.52,10884.84,9.13%
2026-08-14,APA,275.0,36.26,持有,2026-04-15,121,-,-,9970.71,1158.54,11129.25,11.62%
2026-08-14,JBS,641.0,15.6,持有,2026-04-24,112,-,-,9997.72,-1248.07,8749.65,-12.48%
2026-08-14,RL,27.0,360.06,持有,2026-05-04,102,-,-,9721.63,779.21,10500.84,8.02%
2026-08-14,AGI,257.0,38.84,持有,2026-06-03,72,-,-,9982.32,-1408.8,8573.52,-14.11%
2026-08-14,ALV,83.0,120.44,持有,2026-06-17,58,-,-,9996.74,66.66,10063.4,0.67%
2026-08-14,DECK,92.0,108.11,持有,2026-06-18,57,-,-,9945.94,-1381.66,8564.28,-13.89%
2026-08-14,LOGI,93.0,106.46,持有,2026-06-19,56,-,-,9900.44,-313.07,9587.37,-3.16%
2026-08-14,NTAP,64.0,154.25,持有,2026-06-23,52,-,-,9871.75,3381.37,13253.12,34.25%
2026-08-17,WU,1168.0,8.56,持有,2026-03-31,139,-,-,9999.84,-1613.6,8386.24,-16.14%
2026-08-17,BCE,397.0,25.17,持有,2026-03-31,139,-,-,9992.86,-722.91,9269.95,-7.23%
2026-08-17,MPLX,183.0,54.5,持有,2026-04-01,138,-,-,9974.32,837.32,10811.64,8.39%
2026-08-17,APA,275.0,36.26,持有,2026-04-15,124,-,-,9970.71,1463.79,11434.5,14.68%
2026-08-17,JBS,641.0,15.6,持有,2026-04-24,115,-,-,9997.72,-1382.68,8615.04,-13.83%
2026-08-17,RL,27.0,360.06,持有,2026-05-04,105,-,-,9721.63,519.74,10241.37,5.35%
2026-08-17,AGI,257.0,38.84,持有,2026-06-03,75,-,-,9982.32,-1246.89,8735.43,-12.49%
2026-08-17,ALV,83.0,120.44,持有,2026-06-17,61,-,-,9996.74,-44.6,9952.14,-0.45%
2026-08-17,DECK,92.0,108.11,持有,2026-06-18,60,-,-,9945.94,-1655.82,8290.12,-16.65%
2026-08-17,LOGI,93.0,106.46,持有,2026-06-19,59,-,-,9900.44,-496.28,9404.16,-5.01%
2026-08-17,NTAP,64.0,154.25,持有,2026-06-23,55,-,-,9871.75,3197.05,13068.8,32.39%
2026-08-18,WU,1168.0,8.56,持有,2026-03-31,140,-,-,9999.84,-1578.56,8421.28,-15.79%
2026-08-18,BCE,397.0,25.17,持有,2026-03-31,140,-,-,9992.86,-718.94,9273.92,-7.19%
2026-08-18,MPLX,183.0,54.5,持有,2026-04-01,139,-,-,9974.32,888.56,10862.88,8.91%
2026-08-18,APA,275.0,36.26,持有,2026-04-15,125,-,-,9970.71,1681.04,11651.75,16.86%
2026-08-18,JBS,641.0,15.6,持有,2026-04-24,116,-,-,9997.72,-1241.66,8756.06,-12.42%
2026-08-18,RL,27.0,360.06,持有,2026-05-04,106,-,-,9721.63,491.12,10212.75,5.05%
2026-08-18,AGI,257.0,38.84,持有,2026-06-03,76,-,-,9982.32,-1527.02,8455.3,-15.30%
2026-08-18,ALV,83.0,120.44,持有,2026-06-17,62,-,-,9996.74,-84.16,9912.58,-0.84%
2026-08-18,DECK,92.0,108.11,持有,2026-06-18,61,-,-,9945.94,-1711.02,8234.92,-17.20%
2026-08-18,LOGI,93.0,106.46,持有,2026-06-19,60,-,-,9900.44,-757.61,9142.83,-7.65%
